Run,Analysis,Identifier1,mass,area44,DIC_uM,DIC_uM_95CI,d13C.scale,d13C.error.S,PercentCO3,Do_not_use,Why_culled,d18O.raw.SMOW,d18O.sd,well,type,depth
1,26760,blank_water_1,1,0.170424740705588,-0.38653930740127,206.556616754512,-0.0190121976901101,0.139185960874974,6670.19666596715,NA,NA,28.3283387311426,NA,NA,NA,NA
1,26762,BA1B20-f,1,17.6261460475988,949.684829702466,197.728791969058,21.0928274856921,0.139185960874974,16300.7930285705,NA,NA,42.387795716364,0.0554704968080265,BA1B,Falcon Tube,20
1,26763,BA1B150-f,1,32.0437995675287,1734.40174725434,195.645378309392,-10.9593741876856,0.139185960874974,24255.2395452825,NA,NA,42.3508542168149,0.0345273849238025,BA1B,Falcon Tube,150
1,26764,BA1B250-f,1,44.0240847300175,2386.45878490649,197.637950477593,-7.92425148805217,0.139185960874974,30864.9515520417,NA,NA,42.4539122497316,0.0291404475775492,BA1B,Falcon Tube,250
1,26765,BA4A-20-f,1,33.3063308079315,1803.11817339902,195.696269779135,-13.9796702074692,0.139185960874974,24951.797914755,NA,NA,43.6538850811738,0.0359000008036572,BA4A,Falcon Tube,20
1,26766,BA4A-150-f,1,16.5623851207024,891.786975907303,198.07426332997,-13.5225101842878,0.139185960874974,15713.8993715778,NA,NA,43.4774850897517,0.0598776814537553,BA4A,Falcon Tube,150
1,26767,BA4A-270-f,1,31.164485032355,1686.54285047573,195.632219991415,-14.2443506853157,0.139185960874974,23770.107867528,NA,NA,43.1559710661672,0.213826283550347,BA4A,Falcon Tube,270
1,26768,BA3A-20-f,1,2.22725003448104,111.561330867387,205.178987097828,-6.10473662475216,0.139185960874974,7804.97957436075,NA,NA,44.3937569060134,0.0778304301149506,BA3A,Falcon Tube,20
1,26772,BA3A-150-f,1,1.06339085427283,48.2153788305348,205.947968632616,-15.2653520465864,0.139185960874974,7162.86013452589,NA,NA,43.7447529120017,0.251723576693316,BA3A,Falcon Tube,150
1,26773,BA3A-270-f,1,0.726588658017386,29.8840754110893,206.175641153219,-14.8079645390884,0.139185960874974,6977.04105841051,NA,NA,43.559675425749,0.284876748804543,BA3A,Falcon Tube,270
1,26774,BA1B20-e,1,18.055673465514,973.062935642143,197.596642472433,20.4543099821826,0.139185960874974,16537.7700698446,NA,NA,41.9930409114409,0.0656100308241385,BA1B,Anaerobic,20
1,26775,BA1B150-e,1,33.726030711124,1825.96139222618,195.721537972081,-13.5256847325312,0.139185960874974,25183.3529613789,NA,NA,39.6241687132643,0.0281404691678475,BA1B,Anaerobic,150
1,26776,BA1B250-e,1,41.7620680532894,2263.34285958901,197.005050273074,-7.82510049389252,0.139185960874974,29616.9613260266,NA,NA,42.1280114898835,0.0272168078854285,BA1B,Anaerobic,250
1,26777,BA4A-20-e,1,33.4495864605655,1810.91522123356,195.704426324011,-14.0114140385194,0.139185960874974,25030.8343145074,NA,NA,43.6570270686177,0.027498801088211,BA4A,Anaerobic,20
1,26778,BA4A-150-e,1,18.3854315724138,991.010846848805,197.498063939009,-13.7728120572505,0.139185960874974,16719.7028109221,NA,NA,43.4821940010658,0.064966536296813,BA4A,Anaerobic,150
1,26779,BA4A-270-e,1,26.8229403864324,1450.24340499018,195.835440222014,-13.861277259486,0.139185960874974,21374.8093095365,NA,NA,43.5402687157121,0.0428122754923018,BA4A,Anaerobic,270
1,26780,BA3A-20-e,1,0.785514554862495,33.0912649910272,206.135642465504,13.4391337498556,0.139185960874974,7009.55140374901,NA,NA,43.5301286882862,0.427404472075832,BA3A,Anaerobic,20
1,26784,BA3A-150-e,1,1.43083946698264,68.2146902528667,205.702205336873,2.04467232554577,0.139185960874974,7365.58732126262,NA,NA,44.2436270232052,0.097850844797871,BA3A,Anaerobic,150
1,26785,BA3A-270-e,1,1.0916233620353,49.752003804599,205.928988393296,-3.12665009616046,0.139185960874974,7178.43645370424,NA,NA,44.2239542254743,0.23672221372229801,BA3A,Anaerobic,270
1,26786,BA1D-120,1,20.0464739152102,1081.41723824672,197.0396243269,-15.8022902401782,0.139185960874974,17636.1260319062,NA,NA,42.520545047461,0.0421693679660504,BA1D,Anaerobic,20
1,26787,blank_water_2,1,0.184628562953569,0.386539307401272,206.546809493269,2.64140947295792,0.139185960874974,6678.03313840341,NA,NA,30.9406516569239,0.773772146426186,NA,NA,NA
1,26803,seawater standard,1,48.4937104345802,2629.72936292715,199.232617497676,-0.522371799982252,0.139185960874974,33330.914447288,NA,NA,37.7459815510766,0.681143072341038,NA,NA,NA
1,26804,seawater standard,1,46.1700639588363,2503.25908137923,198.346982712917,-0.178089229435403,0.139185960874974,32048.922090522,NA,NA,37.6983892094295,1.49490034970147,NA,NA,NA
