Sample,Year,Area,pH_(input),Pressure,Temperature,HCO3-_(input),SiO2_(input),Cl-_(input),SO4-2_(input),Li+_(input),Na+_(input),K+_(input),Mg+2_(input),Ca+2_(input),Al+3_(input),Mn+2_(input),Al+3,AlO+,AlO2-,AlOH+2,Ca(For)+,Ca(For)2,Ca+2,CaCl+,CaCl2,CaCO3,CaHCO3+,CaHSiO3+,CaOH+,CaSO4,Cl-,ClO-,ClO2-,ClO3-,ClO4-,CO,CO2,CO3-2,formaldehyde,formate,formic-acid,H-oxalate,H+,H2,H2O,H2O2,HAlO2,HCl,HClO,HClO2,HCO3-,HMnO2-,HO2-,HSiO3-,HSO3-,HSO4-,HSO5-,K(For),K(For)2-,K+,KCl,KHSO4,KOH,KSO4-,Li+,LiCl,LiOH,Mg(For)+,Mg(For)2,Mg+2,MgCl+,MgCO3,MgHCO3+,MgHSiO3+,MgOH+,MgSO4,Mn(For)+,Mn(For)2,Mn+2,Mn+3,MnCl+,MnO,MnO2-2,MnO4-,MnO4-2,MnOH+,MnSO4,Na(For),Na(For)2-,Na+,NaCl,NaHSiO3,NaOH,NaSO4-,O2,OH-,oxalate-2,oxalic-acid,S2O5-2,S2O6-2,S2O8-2,SiO2,SO2,SO3-2,SO4-2,pH,akermanite,albite,"albite,high","albite,low",analcime,"analcime,dehydrated",andalusite,anhydrite,anorthite,anthophyllite,antigorite,aragonite,artinite,bixbyite,boehmite,brucite,calcite,chalcedony,chrysotile,"clinochlore,14a","clinochlore,7a",clinozoisite,coesite,"cordierite,hydrous",corundum,cristobalite,"cristobalite,alpha","cristobalite,beta",diaspore,dickite,diopside,dolomite,enstatite,forsterite,gibbsite,glaucophane,grossular,gypsum,halite,halloysite,hausmannite,huntite,hydromagnesite,jadeite,K-feldspar,kalsilite,kaolinite,kyanite,larnite,laumontite,lawsonite,magnesite,manganosite,margarite,merwinite,"microcline,maximum",Mn(OH)2,monticellite,muscovite,nepheline,nesquehonite,paragonite,pargasite,periclase,phlogopite,portlandite,prehnite,pyrolusite,pyrope,pyrophyllite,quartz,rhodochrosite,"sanidine,high",sepiolite,sillimanite,spinel,sylvite,talc,tremolite,wairakite,wollastonite,zoisite,charge imbalance,charge imbalance % of mean charge,charge imbalance % of total charge,ionic strength,mean charge,sigma(mz) anions,sigma(mz) cations,stoichiometric ionic strength,total charge,CH4(g),CO(g),CO2(g),H2(g),H2O(g),H2S(g),O2(g),S2(g),SO2(g),Al+3_total,Ca+2_total,Cl-_total,H+_total,HCO3-_total,K+_total,Li+_total,Mg+2_total,Mn+2_total,Na+_total,OH-_total,SiO2_total,SO4-2_total
,,,pH,bar,degC,Molarity,Molarity,Molarity,Molarity,Molarity,Molarity,Molarity,Molarity,Molarity,Molarity,Molarity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,pH,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,%,%,eq/kg.H2O,molality,eq/kg.H2O,eq/kg.H2O,eq/kg.H2O,eq/kg.H2O,molality,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality
BA1B-20,,,7.83,1.0,35.0,0.00094968,3.68e-05,0.001729832,1.84e-05,3.41e-07,0.001383852,4.96e-05,0.000964324,0.00043123,2.52e-06,1.28e-05,-15.7429,-9.8501,-5.6455,-12.6291,-42.0019,-81.0858,-3.499,-6.537,-9.7502,-5.5715,-5.5089,-8.5628,-8.0622,-6.272,-2.7927,-22.0054,-34.227,-33.0416,-36.0825,-46.5376,-4.6048,-5.4952,-85.4569,-39.9271,-43.999,-51.1633,-7.83,-40.0522,-4.19189e-05,-20.5375,-7.0052,-11.3767,-22.3568,-39.9893,-3.073,-15.3931,-24.2214,-6.0942,-46.1013,-10.6464,-33.7129,-44.212,-84.4771,-4.3367,-9.5482,-18.333,-10.5875,-8.3548,-6.4973,-10.7705,-12.0006,-41.6962,-80.8378,-3.1433,-6.0567,-5.6024,-5.16,-7.9813,-6.6347,-5.7942,-43.7091,-82.5917,-5.0217,-19.3697,-7.838,-10.8668,-20.6638,-12.2755,-14.1699,-7.4688,-7.9669,-42.768,-83.0433,-2.8905,-6.4283,-7.2726,-8.9495,-7.078,-8.9617,-5.8534,-47.6366,-57.703,-97.0446,-70.3959,-51.3634,-4.4427,-51.9677,-45.5369,-4.92,7.83,,-3.44476,-5.21592,-3.44476,-2.82432,-9.21853,-3.19023,-5.63578,-6.74454,,,-0.82439,-6.74706,13.03689,-0.25112,-4.44165,-0.62148,-1.24642,-1.70177,3.23815,-1.41175,-6.29883,-1.98387,,-3.43211,-1.62248,-1.62248,-2.2123,0.86944,4.40407,-6.1962,0.99589,-3.91163,-8.59434,1.86191,-5.2218,,-5.57188,,0.76108,12.06152,-4.53337,,-4.86262,-1.42207,-3.99552,2.76616,-2.84322,,-1.99563,-1.05978,-0.59711,-9.91618,-1.76002,,-1.42136,-6.42328,,4.44838,-5.8359,-4.62874,1.19387,,,0.63866,,-4.73699,39.98133,,-1.14991,-0.87642,-0.53953,-3.02345,-8.59195,-3.67698,-8.56152,,-0.67607,,-7.78487,-7.89358,-6.35876,0.0015535583826,44.7499,22.3749,0.00488928,0.0034716491436,-0.0026948699523,0.0042484283349,0.00495233,0.0069432982872,-129.27319,-43.4738,-3.0249,-36.92814,-1.33604,-128.06068,-6,-206.95137,-51.99023,2.53513e-06,0.000433819,0.00174022,2.55142e-06,0.000955383,4.98978e-05,3.43048e-07,0.000970115,1.28769e-05,0.00139216,,3.7021e-05,1.85105e-05
BA1B-150,,,8.94,1.0,35.0,0.0017344,0.000143287,0.001453304,0.000143764,4.42e-07,0.000819204,3.81e-05,0.000882972,0.000334113,2.35e-06,1.63e-06,-20.1966,-12.0837,-5.6591,-15.9727,-41.9376,-80.7907,-3.6655,-6.7783,-10.0662,-4.3972,-5.4446,-7.1399,-7.1187,-5.5322,-2.8675,-22.0802,-34.3018,-33.1164,-36.1573,-47.4168,-5.484,-4.1544,-86.3361,-39.6963,-44.8782,-51.8118,-8.94,-40.0522,-4.12192e-05,-20.5375,-8.1288,-12.5615,-23.5416,-41.1741,-2.8422,-12.9721,-23.1114,-4.5048,-46.305,-10.8501,-33.9166,-44.0952,-84.1295,-4.4506,-9.7369,-18.6507,-9.5915,-7.5625,-6.3839,-10.7318,-10.7772,-41.5321,-80.443,-3.2101,-6.1982,-4.3283,-4.9959,-6.4587,-5.5914,-4.9547,-44.3874,-83.0391,-5.9307,-21.3887,-8.8218,-9.5559,-17.1328,-9.8545,-10.6389,-7.2679,-7.9696,-42.7649,-82.8094,-3.1181,-6.7307,-5.9108,-8.0672,-6.3994,-8.9617,-4.7434,-47.1751,-59.4615,-97.452,-70.8033,-51.7708,-3.9632,-53.2814,-44.6306,-4.0137,8.94,,-1.75691,-3.52807,-1.75691,-1.81251,-8.20671,-5.68297,-4.59268,-5.66575,9.87537,157.33928,0.83139,-1.91448,16.73392,-1.83551,-1.4055,1.03429,-0.57038,8.75874,17.27822,12.62832,-3.2329,-1.30784,,-6.60089,-0.94644,-0.94644,-1.53626,-0.71495,2.58736,1.08751,4.44809,-0.19945,-1.84601,0.27753,8.61441,-5.85987,-4.52878,,-1.05562,17.60707,2.5117,-4.10846,-3.85081,0.4261,-3.49942,0.94946,-5.33596,,0.43523,0.019,1.19932,-8.06766,-3.85001,,0.4268,-4.57476,-4.9961,3.12778,-5.50011,-2.83231,-0.28705,-8.45084,-8.19593,11.59527,,-0.08668,47.37539,,-1.61455,-0.20039,0.06927,-1.17529,7.60885,-6.16972,-8.69415,,11.13651,15.81295,-5.35401,-4.32205,-3.29283,-0.00041870869022,-12.6831,-6.3416,0.0046312,0.0033013024046,-0.0035106567497,0.0030919480594,0.00490916,0.0066026048091,-130.15239,-44.35301,-3.90411,-36.92814,-1.33604,-129.37438,-6,-209.57878,-53.30394,2.36411e-06,0.000336119,0.00146203,,0.00174481,3.83288e-05,4.44654e-07,0.000888274,1.63979e-06,0.000824123,0.000244668,0.000144147,0.000144627
BA1B-250,,,8.08,1.0,35.0,0.00238646,0.000245518,0.001252377,0.000214001,4.35e-07,0.000856841,4.84e-05,0.001235298,0.000550836,2.61e-06,5.38e-06,-16.7233,-10.3305,-5.6259,-13.3595,-41.5304,-80.2177,-3.4243,-6.6061,-9.9629,-4.85,-5.0374,-7.4221,-7.7375,-5.1523,-2.9364,-22.1491,-34.3707,-33.1853,-36.2262,-46.3909,-4.4581,-4.8485,-85.3102,-39.5304,-43.8523,-50.6199,-8.08,-40.0523,-5.02848e-05,-20.5376,-7.2356,-11.7704,-22.7505,-40.383,-2.6763,-15.037,-23.9715,-5.0282,-45.3063,-9.8514,-32.9179,-43.8301,-83.6986,-4.3515,-9.7068,-17.5529,-10.3524,-7.3247,-6.3949,-10.8118,-11.6483,-41.2194,-79.9643,-3.0632,-6.1203,-4.8756,-4.6832,-6.8352,-6.3046,-4.6691,-43.7063,-82.1921,-5.4156,-20.0135,-8.3756,-10.7607,-20.0577,-11.9193,-13.5638,-7.6127,-7.3158,-42.5835,-82.4622,-3.1027,-6.7842,-6.4188,-8.9118,-6.2453,-8.9617,-5.6035,-46.8432,-57.4096,-95.4547,-68.806,-49.7735,-3.6266,-51.4228,-44.4919,-3.875,8.08,,-0.26464,-2.0358,-0.26464,-0.79483,-7.18902,-2.6895,-4.057,-4.28286,-1.85534,67.00145,0.19283,-4.90431,13.33614,-0.57607,-3.6237,0.39573,-0.0958,3.0533,10.12985,5.47994,-2.20115,-0.83326,-7.92909,-4.08199,-0.47186,-0.47186,-1.06168,0.54449,6.05539,-2.26668,3.03793,-1.94306,-5.80781,1.53695,5.89353,-8.17271,-3.99313,,2.4124,12.51039,-0.44164,-9.41309,-2.83312,2.0364,-2.83829,4.41749,-2.34248,,2.76724,1.40187,0.42773,-9.76655,0.05177,,2.0371,-6.27366,-8.82487,7.25695,-4.957,-3.60394,3.7241,,,6.55098,,-0.31437,40.57982,,2.80265,0.27419,-0.18303,0.43501,1.58348,-3.17624,-8.39345,,6.38025,4.3483,-3.02198,-5.93263,-2.26107,0.00039542295448,9.4818,4.7409,0.00608794,0.0041703222315,-0.0039726107542,0.0043680337087,0.00635126,0.0083406444629,-129.12648,-43.32708,-2.87818,-36.92815,-1.33605,-127.5157,-6,-205.8614,-51.44525,2.62567e-06,0.000554144,0.0012599,,0.00240079,4.86906e-05,4.37612e-07,0.00124272,5.41231e-06,0.000861986,3.68533e-05,0.000246992,0.000215286
BA4A-20,,,9.22,1.0,35.0,0.00180312,2.15e-05,0.002427371,5.88e-05,5e-07,0.001606888,4.51e-05,0.001195954,0.000119894,2.62e-06,4.97e-07,-21.2714,-12.5986,-5.614,-16.7676,-42.4491,-81.3213,-4.1581,-7.0511,-10.1191,-4.6287,-5.9561,-8.2699,-7.3312,-6.4278,-2.6477,-21.8604,-34.082,-32.8966,-35.9375,-47.7158,-5.783,-3.8935,-86.6351,-39.7154,-45.1773,-52.1298,-9.22,-40.0523,-5.41299e-05,-20.5376,-8.3637,-12.6217,-23.6018,-41.2343,-2.8613,-12.6715,-22.8315,-5.1422,-46.988,-11.5331,-34.5996,-44.044,-84.0973,-4.3804,-9.4469,-19.2635,-9.2413,-7.8953,-6.3332,-10.4614,-10.4465,-41.445,-80.3749,-3.104,-5.8722,-3.9612,-4.9088,-6.99,-5.2053,-5.2516,-44.9457,-83.6165,-6.4701,-22.208,-9.1414,-9.5352,-16.5522,-9.5539,-10.0583,-7.5272,-8.912,-42.4938,-82.5574,-2.8281,-6.2208,-6.2582,-7.4971,-6.5124,-8.9617,-4.4635,-47.2131,-60.0595,-98.8181,-72.1694,-53.1369,-4.8807,-54.2445,-45.0336,-4.4167,9.22,,-5.16528,-6.93643,-5.16528,-3.92723,,-7.63902,-5.85548,-8.82036,6.10086,158.43854,0.50489,-0.45764,16.79213,-2.16671,-0.46626,0.7078,-1.86404,8.98915,17.43105,12.78115,-7.91728,-2.60149,,-7.26328,-2.2401,-2.2401,-2.82992,-1.04615,-0.66238,-0.46545,4.63925,-0.55386,-1.26116,-0.0537,2.02811,,-5.79161,-9.98175,-4.30537,17.69437,3.73818,-1.09867,-5.96551,-3.29226,-4.63046,-2.30029,-7.29201,,-5.30677,-3.13564,1.71698,-8.03856,-7.66703,,-3.29155,-4.54568,-5.25541,-1.25299,-6.32116,-2.3147,-4.35783,,-7.25668,10.69465,,-4.43986,47.49179,,-7.4516,-1.49405,-0.32323,-4.89365,3.60379,-8.12577,-8.41729,,8.77962,10.35013,,-5.52061,-7.9772,-0.00042539229526,-10.0774,-5.0387,0.00561198,0.0042212661892,-0.0044339623368,0.0040085700416,0.00592281,0.0084425323784,-130.45141,-44.652,-4.2031,-36.92815,-1.33605,-130.33742,-6,-211.50482,-54.26696,2.63573e-06,0.000120614,0.00244195,,0.00181395,4.53708e-05,5.03002e-07,0.00120313,4.99984e-07,0.00161654,0.000370004,2.16291e-05,5.91531e-05
BA4B-150,,,9.91,1.0,35.0,0.00089179,2.1e-05,0.002366234,0.00052994,5.08e-07,0.001150282,3.19e-05,0.001409372,0.000149612,2.37e-06,2.89e-07,-24.0757,-14.0228,-5.6583,-18.8818,-42.935,-82.3434,-4.1077,-7.0131,-10.0936,-4.4246,-6.442,-7.9372,-6.5909,-5.4299,-2.6601,-21.8728,-34.0944,-32.909,-35.9499,-48.942,-7.0092,-3.7397,-87.8613,-40.2516,-46.4035,-53.8922,-9.91,-40.0522,-4.83481e-05,-20.5375,-9.098,-13.3241,-24.3042,-41.9367,-3.3975,-11.0152,-22.1414,-4.8599,-46.7305,-11.2756,-34.3421,-44.7331,-85.3227,-4.5334,-9.6123,-19.1589,-8.7042,-7.1007,-6.3277,-10.4683,-9.7511,-41.951,-81.4171,-3.0737,-5.8544,-3.7772,-5.4148,-6.6774,-4.4851,-4.2738,-45.8957,-85.1026,-6.8838,-23.3118,-9.5675,-8.5689,-14.2059,-7.8976,-7.712,-7.2509,-8.3782,-43.1775,-83.7773,-2.9755,-6.3807,-6.1233,-6.9546,-5.7123,-8.9617,-3.7734,-48.2855,-62.5119,-98.303,-71.6543,-52.6218,-5.2883,-54.6769,-44.0861,-3.4692,9.91,-8.5551,-7.16016,-8.93132,-7.16016,-5.34728,,,-4.44844,,15.42153,234.34129,0.79272,1.79033,19.51713,-3.20207,1.52222,0.99562,-2.43887,13.80493,23.57825,18.92835,-8.71415,-3.17633,,-9.33399,-2.81493,-2.81493,-3.40475,-2.0815,-3.88274,2.3902,5.18654,0.85979,2.14096,-1.08904,2.85411,-7.86261,-4.38456,,-7.52573,21.78187,4.80437,1.92768,-7.38557,-5.29485,-5.48338,-5.52065,-9.93755,,-7.65993,-4.33916,1.97644,-6.67606,,,-5.29414,-3.18317,-1.82492,-5.32628,-7.16638,-2.05522,-8.42342,-6.25786,-5.2682,14.6575,-8.60287,-4.20137,52.9418,-9.95966,,-2.06888,-0.68974,-6.89623,8.10875,,-8.49952,,12.44573,19.72755,,-4.0786,-8.77407,-0.00071245105202,-17.3176,-8.6588,0.00610581,0.004114035784,-0.00447026131,0.003757810258,0.00679935,0.0082280715679,-131.67761,-45.87822,-5.42932,-36.92815,-1.33605,-130.76989,-6,-212.36978,-54.69944,2.38423e-06,0.00015051,0.00238044,,0.000897145,3.20916e-05,5.1105e-07,0.00141783,2.90735e-07,0.00115719,0.000702834,2.11261e-05,0.000533122
BA4B-270,,,9.54,1.0,35.0,0.00168654,2.2e-05,0.002545654,0.000439592,3.71e-07,0.001444571,4.15e-05,0.001343339,0.000212025,2.42e-06,4.35e-07,-22.5879,-13.275,-5.6505,-17.764,-42.3762,-81.3603,-3.9731,-6.8479,-9.8978,-4.2358,-5.8832,-7.9089,-6.8263,-5.3798,-2.6295,-21.8422,-34.0638,-32.8784,-35.9193,-48.1478,-6.215,-3.6855,-87.0671,-39.8274,-45.6093,-52.6737,-9.54,-40.0523,-5.63684e-05,-20.5376,-8.7202,-12.9235,-23.9036,-41.5361,-2.9733,-11.8181,-22.5115,-4.9662,-46.4449,-10.99,-34.0565,-44.1957,-84.3611,-4.4202,-9.4685,-18.7602,-8.961,-7.072,-6.4653,-10.5753,-10.2586,-41.5507,-80.5926,-3.0977,-5.8478,-3.7469,-5.0145,-6.8076,-4.879,-4.3822,-45.1643,-83.9471,-6.5767,-22.6346,-9.2298,-9.0018,-15.3788,-8.7005,-8.8849,-7.3138,-8.1555,-42.6554,-82.8309,-2.8776,-6.2522,-6.1317,-7.2267,-5.6988,-8.9617,-4.1435,-47.437,-60.9234,-97.7319,-71.0832,-52.0507,-5.0246,-54.0214,-44.1705,-3.5536,9.54,,-5.89541,-7.66656,-5.89541,-4.45442,,-8.84725,-4.3777,-9.06833,10.85631,195.27999,1.05896,0.75578,18.29636,-2.66936,0.44501,1.26187,-2.06698,11.31711,20.37333,15.72343,-7.70763,-2.80443,,-8.26857,-2.44304,-2.44304,-3.03286,-1.5488,-2.07356,1.20315,5.49548,0.15449,0.35846,-0.55635,2.89582,-8.24244,-4.31384,,-5.71655,19.95072,5.19871,1.02121,-6.4927,-4.00855,-4.94088,-3.71147,-8.50024,,-5.96063,-3.38362,2.01913,-7.28645,-8.92029,,-4.00785,-3.79356,-3.38387,-2.97458,-6.64541,-2.01256,-6.09325,-8.82809,-6.34539,12.7122,-9.45653,-3.72758,50.50025,,-9.26865,-1.69699,-0.18024,-5.60994,6.03125,-9.334,-8.5113,,10.70171,15.60942,,-4.56035,-7.76756,-0.001151076675,-25.0055,-12.5028,0.00654119,0.0046032929673,-0.0051788313048,0.0040277546298,0.00722317,0.0092065859346,-130.88341,-45.08399,-4.63509,-36.92816,-1.33606,-130.11432,-6,-211.05863,-54.04387,2.43453e-06,0.000213298,0.00256094,,0.00169667,4.17492e-05,3.73228e-07,0.00135141,4.37612e-07,0.00145324,0.000641965,2.21321e-05,0.000442232
BA3A-20,,,10.32,1.0,35.0,0.00011156,1.75e-05,0.008790304,0.000156367,4.36e-07,0.006664957,0.000171089,0.000100581,0.0028217,1.9e-06,6.69e-07,-25.8264,-14.9537,-5.7692,-20.2227,-43.0709,-83.9542,-2.7687,-5.1206,-7.6477,-4.1505,-6.5779,-6.6952,-4.842,-4.7043,-2.1066,-21.3193,-33.5409,-32.3555,-35.3964,-50.8269,-8.8941,-4.8046,-89.7462,-41.7265,-48.2884,-57.252,-10.32,-40.0523,-0.000142957,-20.5376,-9.6189,-13.1806,-24.1607,-41.7932,-4.8724,-10.2589,-21.7315,-4.9569,-47.7539,-12.299,-35.3655,-45.4961,-87.5606,-3.8214,-8.3468,-19.4704,-7.5823,-7.0022,-6.41,-9.9971,-9.4234,-44.5795,-85.5205,-4.2273,-6.4546,-5.9957,-8.0433,-7.928,-5.2288,-6.0408,-47.8441,-88.526,-7.3573,-24.1952,-9.4875,-8.2225,-13.0396,-7.1412,-6.5457,-7.3145,-9.4651,-43.9065,-85.9812,-2.2296,-5.0814,-5.4744,-5.7988,-5.5798,-8.9617,-3.3635,-51.2353,-66.2817,,-73.701,-54.6685,-5.7952,-56.1102,-44.6995,-4.0826,10.32,-4.3667,-8.409,,-8.409,-5.88151,,,-3.42528,-9.87806,6.40996,187.45171,1.1792,-1.80893,20.49407,-3.93658,1.05158,1.38211,-3.15361,10.96366,17.61207,12.96217,-6.97337,-3.89106,,,-3.52967,-3.52967,-4.11949,-2.81602,-6.78137,3.53441,2.4448,-0.32546,0.4852,-1.82369,-2.4847,-2.34313,-3.36166,-8.37505,,23.24729,-4.19379,,-7.91967,-6.59153,-5.3506,-8.41928,,,-8.9441,-4.19359,-1.15178,-6.18759,,,-6.59083,-2.69483,0.03403,-8.092,-6.98575,-5.18384,,-6.91359,-5.73871,11.94915,-5.55881,-1.72622,54.89569,,,-2.78361,-2.85898,-8.19292,1.93737,,,-9.68619,8.17513,17.74537,,-1.74914,-7.0333,0.0028585830456,25.7661,12.883,0.0140684,0.011094363773,-0.0096650722498,0.012523655295,0.0144385,0.022188727545,-133.56264,-47.76306,-7.31416,-36.92824,-1.33614,-132.20329,-6,-215.23639,-56.13274,1.91141e-06,0.00283864,0.00884308,,0.00011223,0.000172116,4.38618e-07,0.000101185,6.73017e-07,0.00670498,0.000635766,1.76051e-05,0.000157306
BA3A-150,,,11.44,1.0,35.0,4.822e-05,1.91e-05,0.009959715,0.000114917,2.06e-07,0.009847957,0.000246229,4.21e-05,0.004503004,1.84e-06,2.75e-08,-30.3301,-17.2174,-5.793,-23.6064,-44.4671,-86.8893,-2.626,-4.9349,-7.4188,-4.4267,-7.9741,-6.523,-3.5793,-4.7528,-2.0635,-21.2762,-33.4978,-32.3124,-35.3533,-53.4857,-11.5529,-5.2235,-92.4051,-43.2654,-50.9473,-61.4496,-11.44,-40.0524,-0.000230735,-20.5377,-10.7627,-14.2575,-25.2376,-42.8701,-6.4113,-12.6478,-20.6116,-4.9274,-49.0651,-13.6102,-36.6767,-46.8904,-90.4938,-3.6768,-8.1591,-20.637,-6.3178,-7.0488,-6.7505,-10.2945,-8.644,-46.7755,-89.2554,-4.8844,-7.0686,-7.0717,-10.2393,-8.5556,-4.766,-6.8891,-55.1317,-97.3525,-13.106,-31.0639,-15.1932,-11.7313,-14.3085,-9.5301,-7.8146,-11.9433,-15.405,-45.289,-88.9026,-2.0732,-4.8819,-5.2885,-4.5225,-5.6146,-8.9617,-2.2436,-54.3129,-71.5993,,-76.3233,-57.2908,-6.8857,-58.5413,-44.8907,-4.2738,11.44,1.50924,,,,-8.76979,,,-3.49364,,9.73247,242.30048,0.78976,-1.09474,10.59888,-5.54943,3.28331,0.99267,-4.69115,14.58389,20.93265,16.28275,-9.70526,-5.42861,,,-5.06721,-5.06721,-5.65703,-4.42887,,6.05077,0.5382,0.36885,3.41137,-3.43666,-7.71575,-0.10258,-3.43027,-8.09375,,8.4045,-9.13473,,,,-6.71786,,,-5.6164,,-7.13492,-2.66895,,,-1.50437,,-7.64255,4.08793,,-8.33636,-6.70138,,-3.53102,-3.50685,14.20225,-2.19935,-2.84538,35.1053,,,-4.32116,,,1.63866,,,-9.42154,8.72039,23.32335,,0.0729,-9.76519,0.0019729638852,11.0781,5.5391,0.0220907,0.017809575195,-0.016823093252,0.018796057137,0.0230125,0.03561915039,-136.22162,-50.42186,-9.97296,-36.92833,-1.33623,-134.63447,-6,-220.09857,-58.56384,1.85105e-06,0.00453004,0.0100195,,4.85096e-05,0.000247708,2.07237e-07,4.23528e-05,2.76651e-08,0.0099071,0.0070332,1.92147e-05,0.000115607
BA3A-270,,,11.72,1.0,35.0,2.988e-05,2.1e-05,0.011022762,4.19e-05,2.11e-07,0.011309491,0.000268981,1.64e-05,0.005866728,2.23e-06,3.59e-08,-31.3726,-17.7,-5.7157,-24.369,-44.9431,-87.9098,-2.5575,-4.8293,-7.2762,-4.6227,-8.4501,-6.432,-3.2309,-5.1564,-2.0265,-21.2392,-33.4608,-32.2754,-35.3163,-54.3101,-12.3773,-5.488,-93.2296,-43.8099,-51.7718,-62.8186,-11.72,-40.0525,-0.00030282,-20.5378,-10.9654,-14.5005,-25.4806,-43.1131,-6.9558,-12.8362,-20.3317,-4.9049,-49.8171,-14.3622,-37.4287,-47.4054,-91.5532,-3.6473,-8.0926,-21.3595,-6.0084,-7.4913,-6.7507,-10.2577,-8.3643,-47.896,-90.9204,-5.4604,-7.6075,-7.9122,-11.3598,-9.1091,-5.062,-7.9372,-56.7045,-99.4698,-14.1343,-32.3721,-16.1844,-12.1997,-14.2169,-9.7184,-7.723,-12.6917,-16.9053,-45.7821,-89.9402,-2.0218,-4.7934,-5.2146,-4.1911,-6.0353,-8.9617,-1.9637,-55.4019,-73.2483,,-77.8274,-58.7949,-7.1431,-59.5733,-45.3627,-4.7458,11.72,2.53278,,,,-9.31428,,,-4.06275,,6.66996,228.86785,0.51336,-2.30301,9.27811,-5.83521,3.26051,0.71626,-5.05409,13.78972,19.15847,14.50857,-9.8792,-5.79155,,,-5.43015,-5.43015,-6.01997,-4.71464,,6.18825,-0.92338,-0.01678,3.00304,-3.72254,,0.89532,-3.99959,-7.96903,,6.42335,,,,,-6.93015,,,-4.20722,,-7.5464,-3.85411,,,0.40524,,-8.30303,4.58835,,-8.51781,-7.88685,,-4.4174,-3.52955,13.19588,-1.31339,-2.73364,32.46377,,,-4.6841,,,-0.63049,,,-9.32767,7.20044,22.07835,,0.59602,-9.93912,-0.001319203731,-5.6695,-2.8348,0.0284702,0.023268359007,-0.023927960872,0.022608757141,0.0301189,0.046536718013,-137.04619,-51.24628,-10.79738,-36.9284,-1.3363,-135.66655,-6,-222.16259,-59.59584,2.24339e-06,0.00590196,0.011089,,3.00594e-05,0.000270596,2.12267e-07,1.64985e-05,3.61156e-08,0.0113774,0.0136078,2.11261e-05,4.21516e-05
