,gas,retention_time,peak_area,peak_height,correction_factor,file_number,file_name,sample_type,column,carrier
0,C02,3.961,151.9507,6.682,0.0195,2,data/gc_data/2023-09-29/29SEP23_TAC_FID_01.RES,blank,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.675,11.0841,1.464,0.0004,3,data/gc_data/2023-09-29/29SEP23_TAC_FID_10.RES,BA3A-150-AC-B-1ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.212,1009.0990,102.954,0.0366,3,data/gc_data/2023-09-29/29SEP23_TAC_FID_10.RES,BA3A-150-AC-B-1ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.206,4074.6205,495.469,0.1476,4,data/gc_data/2023-09-29/29SEP23_TAC_FID_05.RES,BA3A-20-BIC-B-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.700,20.1519,2.577,0.0008,5,data/gc_data/2023-09-29/29SEP23_TAC_FID_11.RES,BA3A-270-BIC-B-1ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.228,860.7190,82.462,0.0312,5,data/gc_data/2023-09-29/29SEP23_TAC_FID_11.RES,BA3A-270-BIC-B-1ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.650,11.5162,1.601,0.0004,6,data/gc_data/2023-09-29/29SEP23_TAC_FID_07.RES,BA3A-20-AC-B-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.192,3894.1541,485.985,0.1411,6,data/gc_data/2023-09-29/29SEP23_TAC_FID_07.RES,BA3A-20-AC-B-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.689,22.4923,3.051,0.0009,7,data/gc_data/2023-09-29/29SEP23_TAC_FID_13.RES,BA3A-270-AC-B-1ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.220,1140.9256,113.660,0.0413,7,data/gc_data/2023-09-29/29SEP23_TAC_FID_13.RES,BA3A-270-AC-B-1ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.692,17.1539,2.311,0.0007,8,data/gc_data/2023-09-29/29SEP23_TAC_FID_12.RES,BA3A-270-FORM-B-1ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.220,809.3092,82.896,0.0293,8,data/gc_data/2023-09-29/29SEP23_TAC_FID_12.RES,BA3A-270-FORM-B-1ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.190,5484.4151,676.963,0.1987,9,data/gc_data/2023-09-29/29SEP23_TAC_FID_06.RES,BA3A-20-FORM-A-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.655,12.1421,1.681,0.0005,10,data/gc_data/2023-09-29/29SEP23_TAC_FID_08.RES,BA3A-150-BIC-B-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.198,507.8161,61.976,0.0184,10,data/gc_data/2023-09-29/29SEP23_TAC_FID_08.RES,BA3A-150-BIC-B-0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.702,15.1445,2.316,0.0006,11,data/gc_data/2023-09-29/29SEP23_TAC_FID_09.RES,BA3A-150-FORM-B-1ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.233,999.6033,108.656,0.0362,11,data/gc_data/2023-09-29/29SEP23_TAC_FID_09.RES,BA3A-150-FORM-B-1ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
